"app_id","first_payment","second_payment","tot_users","avg_daily_users","avg_daily_admins","avg_daily_msgs","avg_daily_cmts","avg_daily_mails","avg_daily_cnvs","sum_tot_dur","old_id","time_to_trial"
18129,4900,4900,203,5,1.89,0.19,0.39,0.19,2.49,104469,3377,0
22921,4900,0,234,4,1,0.12,0.08,0,0.19,50952,4331,0
17933,4900,4900,24,0,0.26,0.07000000000000001,0.03,0.02,0.05,,3300,0
21466,14900,14900,330,6,3.71,0.04,0.04,0.01,0.22,14634,4030,0
14360,6000,6000,4472,30,3.97,2.14,8.789999999999999,2.13,7.6,486296,2871,357
14151,4900,4900,1,0,2,0,0,0,0,1816,3476,359
11350,12600,14800,10074,734,6.54,3.7,1.9,1.11,53.06,,1154,1
19731,6000,6000,1477,42,8.869999999999999,1.8,0.83,0.07000000000000001,14.57,,4098,1
13827,20800,20800,2379,31,19.09,0.6,1.4,0.73,5.47,5819492,1962,1
18313,4900,4900,4142,137,3.83,0.05,0.06,0.01,0.05,119397,3463,0
12040,11500,18100,41864,650,6.94,0.08,0.02,0,0,,1361,1
23731,4900,4900,391,1,1,0.43,0.33,0.13,1.2,97108,4451,0
79603,7900,7900,104,1,3.14,0.43,0,0.14,2.71,456913,6313,0
18002,4900,4900,307,15,2,2.16,2.3,1.6,3.66,201467,3332,0
31635,4900,0,13,0,1,0.06,0,0,0,760,4865,0
23558,0,0,1,0,1,0.06,0,0,0.01,,4409,0
16023,44900,44900,329539,2627,11.33,5.13,11.95,14.24,3405.73,223197,2612,0
58101,0,0,1,0,1,0.15,0,0,0.06,1120,5585,0
66062,0,0,1,0,1,0,0,0,0,,5746,0
24278,0,0,300,0,1,0.1,0,0,0.02,21478,4558,0
24186,4900,4900,3102,67,1,1.68,5,3.03,24.37,336004,4581,0
24447,0,0,24,0,0.07000000000000001,0.1,0,0.03,0.05,,4604,0
3127,0,0,73,0,1,0.27,0.32,0.31,0,76,291,6
14469,4900,0,591,19,4.56,0.38,1.18,0.15,8.970000000000001,,2136,0
64408,4900,4900,1,0,1,0.36,0,0,0.09,,5711,0
113044,4900,6460,561,10,4.63,1.38,2.69,0.25,2.31,35963,8640,1
113820,8700,8700,2350,137,2.5,0.33,0,0,0.08,81459,8205,0
